grid,skyvector_url,lsalt_100ft
"[[145.0,-37.5],[145.5,-37.5],[145.5,-37.0],[145.0,-37.0],[145.0,-37.5]]",https://skyvector.com/?fpl=3730S14500E%203730S14530E%203700S14530E%203700S14500E%203730S14500E,38
"[[145.5,-38.0],[146.0,-38.0],[146.0,-37.5],[145.5,-37.5],[145.5,-38.0]]",https://skyvector.com/?fpl=3800S14530E%203800S14600E%203730S14600E%203730S14530E%203800S14530E,57
"[[145.5,-37.5],[146.0,-37.5],[146.0,-37.0],[145.5,-37.0],[145.5,-37.5]]",https://skyvector.com/?fpl=3730S14530E%203730S14600E%203700S14600E%203700S14530E%203730S14530E,60
"[[144.0,-38.0],[144.5,-38.0],[144.5,-37.5],[144.0,-37.5],[144.0,-38.0]]",https://skyvector.com/?fpl=3800S14400E%203800S14430E%203730S14430E%203730S14400E%203800S14400E,34
"[[144.0,-37.5],[144.5,-37.5],[144.5,-37.0],[144.0,-37.0],[144.0,-37.5]]",https://skyvector.com/?fpl=3730S14400E%203730S14430E%203700S14430E%203700S14400E%203730S14400E,39
"[[144.5,-38.0],[145.0,-38.0],[145.0,-37.5],[144.5,-37.5],[144.5,-38.0]]",https://skyvector.com/?fpl=3800S14430E%203800S14500E%203730S14500E%203730S14430E%203800S14430E,31
"[[144.5,-37.5],[145.0,-37.5],[145.0,-37.0],[144.5,-37.0],[144.5,-37.5]]",https://skyvector.com/?fpl=3730S14430E%203730S14500E%203700S14500E%203700S14430E%203730S14430E,43
"[[143.0,-38.0],[143.5,-38.0],[143.5,-37.5],[143.0,-37.5],[143.0,-38.0]]",https://skyvector.com/?fpl=3800S14300E%203800S14330E%203730S14330E%203730S14300E%203800S14300E,27
"[[143.0,-37.5],[143.5,-37.5],[143.5,-37.0],[143.0,-37.0],[143.0,-37.5]]",https://skyvector.com/?fpl=3730S14300E%203730S14330E%203700S14330E%203700S14300E%203730S14300E,42
"[[143.5,-38.0],[144.0,-38.0],[144.0,-37.5],[143.5,-37.5],[143.5,-38.0]]",https://skyvector.com/?fpl=3800S14330E%203800S14400E%203730S14400E%203730S14330E%203800S14330E,35
"[[143.5,-37.5],[144.0,-37.5],[144.0,-37.0],[143.5,-37.0],[143.5,-37.5]]",https://skyvector.com/?fpl=3730S14330E%203730S14400E%203700S14400E%203700S14330E%203730S14330E,34
"[[142.0,-38.0],[142.5,-38.0],[142.5,-37.5],[142.0,-37.5],[142.0,-38.0]]",https://skyvector.com/?fpl=3800S14200E%203800S14230E%203730S14230E%203730S14200E%203800S14200E,37
"[[142.0,-37.5],[142.5,-37.5],[142.5,-37.0],[142.0,-37.0],[142.0,-37.5]]",https://skyvector.com/?fpl=3730S14200E%203730S14230E%203700S14230E%203700S14200E%203730S14200E,42
"[[142.5,-38.0],[143.0,-38.0],[143.0,-37.5],[142.5,-37.5],[142.5,-38.0]]",https://skyvector.com/?fpl=3800S14230E%203800S14300E%203730S14300E%203730S14230E%203800S14230E,22
"[[142.5,-37.5],[143.0,-37.5],[143.0,-37.0],[142.5,-37.0],[142.5,-37.5]]",https://skyvector.com/?fpl=3730S14230E%203730S14300E%203700S14300E%203700S14230E%203730S14230E,48
"[[147.0,-38.5],[147.5,-38.5],[147.5,-38.0],[147.0,-38.0],[147.0,-38.5]]",https://skyvector.com/?fpl=3830S14700E%203830S14730E%203800S14730E%203800S14700E%203830S14700E,15
"[[146.0,-39.0],[146.5,-39.0],[146.5,-38.5],[146.0,-38.5],[146.0,-39.0]]",https://skyvector.com/?fpl=3900S14600E%203900S14630E%203830S14630E%203830S14600E%203900S14600E,35
"[[146.0,-38.5],[146.5,-38.5],[146.5,-38.0],[146.0,-38.0],[146.0,-38.5]]",https://skyvector.com/?fpl=3830S14600E%203830S14630E%203800S14630E%203800S14600E%203830S14600E,33
"[[146.5,-39.0],[147.0,-39.0],[147.0,-38.5],[146.5,-38.5],[146.5,-39.0]]",https://skyvector.com/?fpl=3900S14630E%203900S14700E%203830S14700E%203830S14630E%203900S14630E,23
"[[146.5,-38.5],[147.0,-38.5],[147.0,-38.0],[146.5,-38.0],[146.5,-38.5]]",https://skyvector.com/?fpl=3830S14630E%203830S14700E%203800S14700E%203800S14630E%203830S14630E,35
"[[145.0,-39.0],[145.5,-39.0],[145.5,-38.5],[145.0,-38.5],[145.0,-39.0]]",https://skyvector.com/?fpl=3900S14500E%203900S14530E%203830S14530E%203830S14500E%203900S14500E,16
"[[145.0,-38.5],[145.5,-38.5],[145.5,-38.0],[145.0,-38.0],[145.0,-38.5]]",https://skyvector.com/?fpl=3830S14500E%203830S14530E%203800S14530E%203800S14500E%203830S14500E,19
"[[145.5,-39.0],[146.0,-39.0],[146.0,-38.5],[145.5,-38.5],[145.5,-39.0]]",https://skyvector.com/?fpl=3900S14530E%203900S14600E%203830S14600E%203830S14530E%203900S14530E,17
"[[145.5,-38.5],[146.0,-38.5],[146.0,-38.0],[145.5,-38.0],[145.5,-38.5]]",https://skyvector.com/?fpl=3830S14530E%203830S14600E%203800S14600E%203800S14530E%203830S14530E,27
"[[144.0,-38.5],[144.5,-38.5],[144.5,-38.0],[144.0,-38.0],[144.0,-38.5]]",https://skyvector.com/?fpl=3830S14400E%203830S14430E%203800S14430E%203800S14400E%203830S14400E,23
"[[144.5,-38.5],[145.0,-38.5],[145.0,-38.0],[144.5,-38.0],[144.5,-38.5]]",https://skyvector.com/?fpl=3830S14430E%203830S14500E%203800S14500E%203800S14430E%203830S14430E,20
"[[143.0,-39.0],[143.5,-39.0],[143.5,-38.5],[143.0,-38.5],[143.0,-39.0]]",https://skyvector.com/?fpl=3900S14300E%203900S14330E%203830S14330E%203830S14300E%203900S14300E,28
"[[143.0,-38.5],[143.5,-38.5],[143.5,-38.0],[143.0,-38.0],[143.0,-38.5]]",https://skyvector.com/?fpl=3830S14300E%203830S14330E%203800S14330E%203800S14300E%203830S14300E,20
"[[143.5,-39.0],[144.0,-39.0],[144.0,-38.5],[143.5,-38.5],[143.5,-39.0]]",https://skyvector.com/?fpl=3900S14330E%203900S14400E%203830S14400E%203830S14330E%203900S14330E,32
"[[143.5,-38.5],[144.0,-38.5],[144.0,-38.0],[143.5,-38.0],[143.5,-38.5]]",https://skyvector.com/?fpl=3830S14330E%203830S14400E%203800S14400E%203800S14330E%203830S14330E,29
