grid,skyvector_url,lsalt_100ft
"[[146.0,-44.0],[146.5,-44.0],[146.5,-43.5],[146.0,-43.5],[146.0,-44.0]]",https://skyvector.com/?fpl=4400S14600E%204400S14630E%204330S14630E%204330S14600E%204400S14600E,44
"[[146.0,-43.5],[146.5,-43.5],[146.5,-43.0],[146.0,-43.0],[146.0,-43.5]]",https://skyvector.com/?fpl=4330S14600E%204330S14630E%204300S14630E%204300S14600E%204330S14600E,48
"[[146.5,-44.0],[147.0,-44.0],[147.0,-43.5],[146.5,-43.5],[146.5,-44.0]]",https://skyvector.com/?fpl=4400S14630E%204400S14700E%204330S14700E%204330S14630E%204400S14630E,48
"[[146.5,-43.5],[147.0,-43.5],[147.0,-43.0],[146.5,-43.0],[146.5,-43.5]]",https://skyvector.com/?fpl=4330S14630E%204330S14700E%204300S14700E%204300S14630E%204330S14630E,53
"[[145.5,-43.5],[146.0,-43.5],[146.0,-43.0],[145.5,-43.0],[145.5,-43.5]]",https://skyvector.com/?fpl=4330S14530E%204330S14600E%204300S14600E%204300S14530E%204330S14530E,39
"[[144.0,-41.0],[144.5,-41.0],[144.5,-40.5],[144.0,-40.5],[144.0,-41.0]]",https://skyvector.com/?fpl=4100S14400E%204100S14430E%204030S14430E%204030S14400E%204100S14400E,17
"[[144.5,-42.0],[145.0,-42.0],[145.0,-41.5],[144.5,-41.5],[144.5,-42.0]]",https://skyvector.com/?fpl=4200S14430E%204200S14500E%204130S14500E%204130S14430E%204200S14430E,21
"[[145.0,-41.0],[145.5,-41.0],[145.5,-40.5],[145.0,-40.5],[145.0,-41.0]]",https://skyvector.com/?fpl=4100S14500E%204100S14530E%204030S14530E%204030S14500E%204100S14500E,24
"[[145.5,-41.0],[146.0,-41.0],[146.0,-40.5],[145.5,-40.5],[145.5,-41.0]]",https://skyvector.com/?fpl=4100S14530E%204100S14600E%204030S14600E%204030S14530E%204100S14530E,24
"[[144.0,-40.5],[144.5,-40.5],[144.5,-40.0],[144.0,-40.0],[144.0,-40.5]]",https://skyvector.com/?fpl=4030S14400E%204030S14430E%204000S14430E%204000S14400E%204030S14400E,15
"[[144.5,-41.0],[145.0,-41.0],[145.0,-40.5],[144.5,-40.5],[144.5,-41.0]]",https://skyvector.com/?fpl=4100S14430E%204100S14500E%204030S14500E%204030S14430E%204100S14430E,15
"[[144.5,-40.5],[145.0,-40.5],[145.0,-40.0],[144.5,-40.0],[144.5,-40.5]]",https://skyvector.com/?fpl=4030S14430E%204030S14500E%204000S14500E%204000S14430E%204030S14430E,17
"[[144.0,-40.0],[144.5,-40.0],[144.5,-39.5],[144.0,-39.5],[144.0,-40.0]]",https://skyvector.com/?fpl=4000S14400E%204000S14430E%203930S14430E%203930S14400E%204000S14400E,15
"[[143.5,-40.0],[144.0,-40.0],[144.0,-39.5],[143.5,-39.5],[143.5,-40.0]]",https://skyvector.com/?fpl=4000S14330E%204000S14400E%203930S14400E%203930S14330E%204000S14330E,14
"[[143.5,-40.5],[144.0,-40.5],[144.0,-40.0],[143.5,-40.0],[143.5,-40.5]]",https://skyvector.com/?fpl=4030S14330E%204030S14400E%204000S14400E%204000S14330E%204030S14330E,15
