grid,skyvector_url,lsalt_100ft
"[[148.0,-26.5],[148.5,-26.5],[148.5,-26.0],[148.0,-26.0],[148.0,-26.5]]",https://skyvector.com/?fpl=2630S14800E%202630S14830E%202600S14830E%202600S14800E%202630S14800E,35
"[[148.5,-27.0],[149.0,-27.0],[149.0,-26.5],[148.5,-26.5],[148.5,-27.0]]",https://skyvector.com/?fpl=2700S14830E%202700S14900E%202630S14900E%202630S14830E%202700S14830E,24
"[[148.5,-26.5],[149.0,-26.5],[149.0,-26.0],[148.5,-26.0],[148.5,-26.5]]",https://skyvector.com/?fpl=2630S14830E%202630S14900E%202600S14900E%202600S14830E%202630S14830E,31
"[[152.0,-25.0],[152.5,-25.0],[152.5,-24.5],[152.0,-24.5],[152.0,-25.0]]",https://skyvector.com/?fpl=2500S15200E%202500S15230E%202430S15230E%202430S15200E%202500S15200E,19
"[[152.0,-24.5],[152.5,-24.5],[152.5,-24.0],[152.0,-24.0],[152.0,-24.5]]",https://skyvector.com/?fpl=2430S15200E%202430S15230E%202400S15230E%202400S15200E%202430S15200E,11
"[[152.5,-25.0],[153.0,-25.0],[153.0,-24.5],[152.5,-24.5],[152.5,-25.0]]",https://skyvector.com/?fpl=2500S15230E%202500S15300E%202430S15300E%202430S15230E%202500S15230E,10
"[[152.5,-24.5],[153.0,-24.5],[153.0,-24.0],[152.5,-24.0],[152.5,-24.5]]",https://skyvector.com/?fpl=2430S15230E%202430S15300E%202400S15300E%202400S15230E%202430S15230E,10
"[[151.0,-25.0],[151.5,-25.0],[151.5,-24.5],[151.0,-24.5],[151.0,-25.0]]",https://skyvector.com/?fpl=2500S15100E%202500S15130E%202430S15130E%202430S15100E%202500S15100E,40
"[[151.0,-24.5],[151.5,-24.5],[151.5,-24.0],[151.0,-24.0],[151.0,-24.5]]",https://skyvector.com/?fpl=2430S15100E%202430S15130E%202400S15130E%202400S15100E%202430S15100E,41
"[[151.5,-25.0],[152.0,-25.0],[152.0,-24.5],[151.5,-24.5],[151.5,-25.0]]",https://skyvector.com/?fpl=2500S15130E%202500S15200E%202430S15200E%202430S15130E%202500S15130E,36
"[[151.5,-24.5],[152.0,-24.5],[152.0,-24.0],[151.5,-24.0],[151.5,-24.5]]",https://skyvector.com/?fpl=2430S15130E%202430S15200E%202400S15200E%202400S15130E%202430S15130E,27
"[[150.0,-25.0],[150.5,-25.0],[150.5,-24.5],[150.0,-24.5],[150.0,-25.0]]",https://skyvector.com/?fpl=2500S15000E%202500S15030E%202430S15030E%202430S15000E%202500S15000E,30
"[[150.0,-24.5],[150.5,-24.5],[150.5,-24.0],[150.0,-24.0],[150.0,-24.5]]",https://skyvector.com/?fpl=2430S15000E%202430S15030E%202400S15030E%202400S15000E%202430S15000E,30
"[[150.5,-25.0],[151.0,-25.0],[151.0,-24.5],[150.5,-24.5],[150.5,-25.0]]",https://skyvector.com/?fpl=2500S15030E%202500S15100E%202430S15100E%202430S15030E%202500S15030E,38
"[[150.5,-24.5],[151.0,-24.5],[151.0,-24.0],[150.5,-24.0],[150.5,-24.5]]",https://skyvector.com/?fpl=2430S15030E%202430S15100E%202400S15100E%202400S15030E%202430S15030E,41
"[[149.0,-25.0],[149.5,-25.0],[149.5,-24.5],[149.0,-24.5],[149.0,-25.0]]",https://skyvector.com/?fpl=2500S14900E%202500S14930E%202430S14930E%202430S14900E%202500S14900E,35
"[[149.0,-24.5],[149.5,-24.5],[149.5,-24.0],[149.0,-24.0],[149.0,-24.5]]",https://skyvector.com/?fpl=2430S14900E%202430S14930E%202400S14930E%202400S14900E%202430S14900E,31
"[[149.5,-25.0],[150.0,-25.0],[150.0,-24.5],[149.5,-24.5],[149.5,-25.0]]",https://skyvector.com/?fpl=2500S14930E%202500S15000E%202430S15000E%202430S14930E%202500S14930E,26
"[[149.5,-24.5],[150.0,-24.5],[150.0,-24.0],[149.5,-24.0],[149.5,-24.5]]",https://skyvector.com/?fpl=2430S14930E%202430S15000E%202400S15000E%202400S14930E%202430S14930E,24
"[[153.0,-26.0],[153.5,-26.0],[153.5,-25.5],[153.0,-25.5],[153.0,-26.0]]",https://skyvector.com/?fpl=2600S15300E%202600S15330E%202530S15330E%202530S15300E%202600S15300E,18
"[[153.0,-25.5],[153.5,-25.5],[153.5,-25.0],[153.0,-25.0],[153.0,-25.5]]",https://skyvector.com/?fpl=2530S15300E%202530S15330E%202500S15330E%202500S15300E%202530S15300E,18
"[[152.0,-26.0],[152.5,-26.0],[152.5,-25.5],[152.0,-25.5],[152.0,-26.0]]",https://skyvector.com/?fpl=2600S15200E%202600S15230E%202530S15230E%202530S15200E%202600S15200E,34
"[[152.0,-25.5],[152.5,-25.5],[152.5,-25.0],[152.0,-25.0],[152.0,-25.5]]",https://skyvector.com/?fpl=2530S15200E%202530S15230E%202500S15230E%202500S15200E%202530S15200E,32
"[[152.5,-26.0],[153.0,-26.0],[153.0,-25.5],[152.5,-25.5],[152.5,-26.0]]",https://skyvector.com/?fpl=2600S15230E%202600S15300E%202530S15300E%202530S15230E%202600S15230E,26
